Index,Electrolyte,Cathode,Difference in TEC,Average TEC
0,Li1Nb1S2,Li2Ni1O3,0.177743939,0.500052984
1,Cs2Li1Nb1S4,Li2Ni1O3,0.013275182,0.582287362
2,Al1Li1S2,Li2Ni1O3,0.100405939,0.639127923
3,Li2S3Te1,Li2Ni1O3,0.264028805,0.720939356
4,F3La2Li1O8S2,Li2Ni1O3,0.001192392,0.588328757
5,B2Li2S5,Li2Ni1O3,0.079618504,0.549115701
6,Au1Li1O14S4,Li2Ni1O3,0.038570425,0.569639741
7,Cr1Li1S2,Li2Ni1O3,0.067727288,0.555061309
8,Er1Li1S2,Li2Ni1O3,0.148966344,0.663408125
9,F1Li1O3S1,Li2Ni1O3,0.073345336,0.625597621
10,Li1S2Ti1,Li2Ni1O3,0.073901807,0.55197405
11,Ho1Li1S2,Li2Ni1O3,0.07810699,0.627978448
12,Dy1Li1S2,Li2Ni1O3,0.055067436,0.616458671
13,Li1S2Y1,Li2Ni1O3,0.024730022,0.576559942
14,Cs2Li1S4V1,Li2Ni1O3,0.014222465,0.596036186
15,B1Li3S3,Li2Ni1O3,0.127946123,0.652898015
16,B1Cs1Li2S3,Li2Ni1O3,0.071041744,0.624445825
17,Li1Rb2S4V1,Li2Ni1O3,0.004109486,0.590979696
18,Li2S3U1,Li2Ni1O3,0.008362167,0.58474387
19,Cd1Ge1Li2S4,Li2Ni1O3,0.16293223,0.670391068
20,Cs1Li1O4S1,Li2Ni1O3,0.059393812,0.618621859
21,Li3P1S4,Li2Ni1O3,0.221364671,0.699607289
22,Li1Rb2S4Ta1,Li2Ni1O3,0.062394186,0.55772786
23,K1Li1S1,Li2Ni1O3,0.87357526,1.025712583
24,B3Ba1Li1S6,Li2Ni1O3,0.060161363,0.558844271
25,B1Ba1Li1S3,Li2Ni1O3,0.001171428,0.588339239
26,H1Li1O4S1,Li2Ni1O3,0.028777038,0.574536434
27,Eu1Ge1Li2S4,Li2Ni1O3,0.12011716,0.648983533
28,I1Li6P1S5,Li2Ni1O3,0.629228937,0.903539422
29,Li1P1S4Zn1,Li2Ni1O3,0.129991808,0.653920857
30,Li1Nb1Rb2S4,Li2Ni1O3,0.031339471,0.573255218
31,As1Li1S2,Li2Ni1O3,0.177605047,0.677727477
32,Li1Rb1S1,Li2Ni1O3,0.921929076,1.049889491
33,Li1O4Rb1S1,Li2Ni1O3,0.052013694,0.6149318
34,Ge1Li2Pb1S4,Li2Ni1O3,0.173438394,0.67564415
35,Au1Li3S2,Li2Ni1O3,0.699725937,0.938787922
36,F1Li1Ni1O4S1,Li2Ni1O3,0.012026148,0.594938027
37,As1Li3S3,Li2Ni1O3,0.345371251,0.761610579
38,Au1Li1S1,Li2Ni1O3,0.506072994,0.84196145
39,Li1Na1S1,Li2Ni1O3,0.744944321,0.961397114
40,F1Li1O4S1Zn1,Li2Ni1O3,0.071702072,0.624775989
41,H2Li2O5S1,Li2Ni1O3,0.038481866,0.608165886
42,As1Eu1Li1S3,Li2Ni1O3,0.12402568,0.650937793
43,H1Li1S1,Li2Ni1O3,0.462214826,0.820032366
44,Li1S6Ti3,Li2Ni1O3,0.096739318,0.540555294
45,Li9N1S3,Li2Ni1O3,0.526531861,0.852190884
46,K1Li1O4S1,Li2Ni1O3,0.035623384,0.606736645
47,Li1Mo1S2,Li2Ni1O3,0.151947767,0.51295107
48,F1Fe1Li1O4S1,Li2Ni1O3,0.01900632,0.579421793
49,Li7P3S11,Li2Ni1O3,0.182774971,0.680312439
50,Li1S2V1,Li2Ni1O3,0.105871474,0.535989216
51,Cs1H4Li1O5S1,Li2Ni1O3,0.249852554,0.71385123
52,Ga2Ge1Li2S6,Li2Ni1O3,0.117650707,0.647750307
53,Li1O5S2Ti2Y2,Li2Ni1O3,0.17444485,0.501702528
54,H4K1Li1N2O6S2,Li2Ni1O3,0.013333286,0.595591596
55,Cs1H4Li1N2O6S2,Li2Ni1O3,0.048593801,0.613221854
56,Li2O4S1,Li2Ni1O3,0.021742542,0.578053682
57,Li2S1,Li2Ni1O3,0.582576186,0.880213046
58,H5Li1N2O4S1,Li2Ni1O3,0.321496262,0.749673084
59,Li2O5S2Ti2Y2,Li2Ni1O3,0.160930293,0.508459807
60,C1F3Li1O3S1,Li2Ni1O3,0.003437656,0.587206125
61,Eu1Li1O8S2,Li2Ni1O3,0.104919357,0.536465275
62,Li1S1,Li2Ni1O3,1.003795544,1.090822725
63,Li1Nb1S2,Li2Ni1O2,0.315740292,0.56905116
64,Cs2Li1Nb1S4,Li2Ni1O2,0.151271535,0.651285539
65,Al1Li1S2,Li2Ni1O2,0.037590414,0.708126099
66,Li2S3Te1,Li2Ni1O2,0.126032452,0.789937532
67,F3La2Li1O8S2,Li2Ni1O2,0.139188745,0.657326934
68,B2Li2S5,Li2Ni1O2,0.217614857,0.618113878
69,Au1Li1O14S4,Li2Ni1O2,0.176566778,0.638637917
70,Cr1Li1S2,Li2Ni1O2,0.205723641,0.624059486
71,Er1Li1S2,Li2Ni1O2,0.010969991,0.732406302
72,F1Li1O3S1,Li2Ni1O2,0.064651017,0.694595798
73,Li1S2Ti1,Li2Ni1O2,0.21189816,0.620972226
74,Ho1Li1S2,Li2Ni1O2,0.059889363,0.696976625
75,Dy1Li1S2,Li2Ni1O2,0.082928917,0.685456848
76,Li1S2Y1,Li2Ni1O2,0.162726375,0.645558119
77,Cs2Li1S4V1,Li2Ni1O2,0.123773888,0.665034362
